,molecule_chembl_id,molecule_pref_name,canonical_smiles,pchembl_value,standard_type,standard_relation,standard_value,standard_units,ligand_efficiency,assay_type
46,CHEMBL61465,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccccc3)CC2)CC1,,IC50,,,nM,,F
47,CHEMBL61465,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccccc3)CC2)CC1,,IC50,,,nM,,F
48,CHEMBL556314,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.48,IC50,=,3.3,nM,,F
49,CHEMBL556314,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.47,IC50,=,3.4,nM,,F
50,CHEMBL556314,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.80,IC50,=,16.0,nM,,F
51,CHEMBL556314,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,,IC50,,,nM,,F
52,CHEMBL59602,,Cc1ncnc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.09,IC50,=,8.2,nM,,F
53,CHEMBL59602,,Cc1ncnc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.21,IC50,=,62.0,nM,,F
54,CHEMBL59602,,Cc1ncnc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.32,IC50,=,48.0,nM,,F
55,CHEMBL418120,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3C#N)c3ccccc3)CC2)CC1,7.10,IC50,=,80.0,nM,,F
56,CHEMBL418120,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3C#N)c3ccccc3)CC2)CC1,,IC50,,,nM,,F
57,CHEMBL418120,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3C#N)c3ccccc3)CC2)CC1,,IC50,>,3000.0,nM,,F
58,CHEMBL418120,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3C#N)c3ccccc3)CC2)CC1,,IC50,,,nM,,F
59,CHEMBL58176,,COc1cccc(OC)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.38,IC50,=,42.0,nM,,F
60,CHEMBL58176,,COc1cccc(OC)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,,IC50,,,nM,,F
61,CHEMBL58176,,COc1cccc(OC)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,,IC50,,,nM,,F
62,CHEMBL292894,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2ccccc2)CC1,6.70,IC50,=,200.0,nM,,F
63,CHEMBL292894,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2ccccc2)CC1,6.34,IC50,=,453.0,nM,,F
64,CHEMBL292894,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2ccccc2)CC1,6.29,IC50,=,511.0,nM,,F
65,CHEMBL292894,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2ccccc2)CC1,,IC50,,,nM,,F
66,CHEMBL58101,,Cc1cccc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.96,IC50,=,11.1,nM,,F
67,CHEMBL58101,,Cc1cccc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.58,IC50,=,26.0,nM,,F
68,CHEMBL58101,,Cc1cccc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.21,IC50,=,61.0,nM,,F
69,CHEMBL61828,,Cc1ccnc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.52,IC50,=,3.0,nM,,F
70,CHEMBL61828,,Cc1ccnc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.13,IC50,=,7.4,nM,,F
71,CHEMBL61828,,Cc1ccnc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.81,IC50,=,15.5,nM,,F
72,CHEMBL58441,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2c(Cl)cccc2Cl)CC1,8.62,IC50,=,2.4,nM,,F
73,CHEMBL58441,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2c(Cl)cccc2Cl)CC1,8.46,IC50,=,3.5,nM,,F
74,CHEMBL58441,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2c(Cl)cccc2Cl)CC1,8.10,IC50,=,7.9,nM,,F
75,CHEMBL58441,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2c(Cl)cccc2Cl)CC1,,IC50,,,nM,,F
76,CHEMBL59328,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2cccc3ccccc23)CC1,8.43,IC50,=,3.7,nM,,F
77,CHEMBL59328,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2cccc3ccccc23)CC1,8.05,IC50,=,8.9,nM,,F
78,CHEMBL59328,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2cccc3ccccc23)CC1,,IC50,,,nM,,F
79,CHEMBL58004,,Cc1nc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.54,IC50,=,2.9,nM,,F
80,CHEMBL58004,,Cc1nc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.92,IC50,=,12.0,nM,,F
81,CHEMBL58004,,Cc1nc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.62,IC50,=,24.0,nM,,F
82,CHEMBL58004,,Cc1nc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.88,IC50,=,13.3,nM,,F
83,CHEMBL304931,,CN(C)C(=O)c1ccccc1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,,IC50,>,100.0,nM,,F
84,CHEMBL304931,,CN(C)C(=O)c1ccccc1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,,IC50,,,nM,,F
85,CHEMBL304931,,CN(C)C(=O)c1ccccc1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,,IC50,,,nM,,F
86,CHEMBL58897,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(C(F)(F)F)cc3)CC2)CC1,9.10,IC50,=,0.8,nM,,F
87,CHEMBL58897,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(C(F)(F)F)cc3)CC2)CC1,8.96,IC50,=,1.1,nM,,F
88,CHEMBL58897,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(C(F)(F)F)cc3)CC2)CC1,7.56,IC50,=,27.3,nM,,F
89,CHEMBL58897,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(C(F)(F)F)cc3)CC2)CC1,,IC50,,,nM,,F
90,CHEMBL301454,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,8.85,IC50,=,1.4,nM,,F
91,CHEMBL301454,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,8.52,IC50,=,3.0,nM,,F
92,CHEMBL301454,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,7.91,IC50,=,12.2,nM,,F
93,CHEMBL301454,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,7.84,IC50,=,14.4,nM,,F
94,CHEMBL416512,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)Cc3ccccc3)CC2)CC1,7.12,IC50,=,75.0,nM,,F
95,CHEMBL416512,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)Cc3ccccc3)CC2)CC1,,IC50,,,nM,,F
96,CHEMBL416512,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)Cc3ccccc3)CC2)CC1,,IC50,,,nM,,F
97,CHEMBL60279,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc4ccn(C)c4c3)CC2)CC1,7.04,IC50,=,91.0,nM,,F
98,CHEMBL60279,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc4ccn(C)c4c3)CC2)CC1,7.37,IC50,=,43.0,nM,,F
99,CHEMBL60279,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc4ccn(C)c4c3)CC2)CC1,5.78,IC50,=,1680.0,nM,,F
100,CHEMBL60279,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc4ccn(C)c4c3)CC2)CC1,,IC50,,,nM,,F
101,CHEMBL62152,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.59,IC50,=,2.6,nM,,F
102,CHEMBL62152,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,9.15,IC50,=,0.7,nM,,F
103,CHEMBL62152,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.82,IC50,=,15.3,nM,,F
104,CHEMBL62152,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.84,IC50,=,14.4,nM,,F
105,CHEMBL61424,,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,9.00,IC50,=,1.0,nM,,F
106,CHEMBL61424,,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.66,IC50,=,2.2,nM,,F
107,CHEMBL61424,,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.10,IC50,=,7.9,nM,,F
108,CHEMBL61424,,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,,IC50,,,nM,,F
109,CHEMBL59358,,COc1cc(CN(c2ccccc2)C2CCN(C3(C)CCN(C(=O)c4c(C)cc[n+]([O-])c4C)CC3)CC2)cc(OC)c1OC,,IC50,>,1000.0,nM,,F
110,CHEMBL59358,,COc1cc(CN(c2ccccc2)C2CCN(C3(C)CCN(C(=O)c4c(C)cc[n+]([O-])c4C)CC3)CC2)cc(OC)c1OC,,IC50,,,nM,,F
111,CHEMBL59358,,COc1cc(CN(c2ccccc2)C2CCN(C3(C)CCN(C(=O)c4c(C)cc[n+]([O-])c4C)CC3)CC2)cc(OC)c1OC,,IC50,,,nM,,F
112,CHEMBL61466,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Cl)cc3)CC2)CC1,8.62,IC50,=,2.4,nM,,F
113,CHEMBL61466,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Cl)cc3)CC2)CC1,8.70,IC50,=,2.0,nM,,F
114,CHEMBL61466,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Cl)cc3)CC2)CC1,7.59,IC50,=,25.7,nM,,F
115,CHEMBL61466,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Cl)cc3)CC2)CC1,,IC50,,,nM,,F
116,CHEMBL59285,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(-c4ccccc4)cc3)CC2)CC1,6.34,IC50,=,460.0,nM,,F
117,CHEMBL59285,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(-c4ccccc4)cc3)CC2)CC1,,IC50,,,nM,,F
118,CHEMBL59285,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(-c4ccccc4)cc3)CC2)CC1,,IC50,,,nM,,F
119,CHEMBL294271,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3cccc4ccn(C)c34)CC2)CC1,6.99,IC50,=,102.0,nM,,F
120,CHEMBL294271,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3cccc4ccn(C)c34)CC2)CC1,6.83,IC50,=,147.0,nM,,F
